”N,ŒŽ,“ñŽ_‰»’Y‘f”Z“x‚ÌŒŽ•½‹Ï’l(“ì’¹“‡)[ppm],
1993,2,361.4,
1993,3,361,
1993,4,362.1,
1993,5,361.2,
1993,6,360,
1993,7,358.1,
1993,8,355.9,
1993,9,354.1,
1993,10,355.2,
1993,11,356.3,
1993,12,358.2,
1994,1,360.1,
1994,2,361.5,
1994,3,362.5,
1994,4,363.1,
1994,5,362.8,
1994,6,361.6,
1994,7,359.6,
1994,8,357.6,
1994,9,356,
1994,10,356.6,
1994,11,358.9,
1994,12,360.8,
1995,1,362.4,
1995,2,363.5,
1995,3,364,
1995,4,364.4,
1995,5,364.9,
1995,6,363.6,
1995,7,361.6,
1995,8,358,
1995,9,357.8,
1995,10,358.5,
1995,11,361.1,
1995,12,363.4,
1996,1,364.3,
1996,2,365.4,
1996,3,366.2,
1996,4,366.3,
1996,5,366.3,
1996,6,365.5,
1996,7,363.7,
1996,8,361.3,
1996,9,359.5,
1996,10,360.2,
1996,11,361.8,
1996,12,363.9,
1997,1,365.5,
1997,2,367,
1997,3,367.3,
1997,4,367.6,
1997,5,367.5,
1997,6,365.4,
1997,7,364.5,
1997,8,361.7,
1997,9,360.6,
1997,10,362.3,
1997,11,363.7,
1997,12,365.5,
1998,1,367.5,
1998,2,368.4,
1998,3,369.7,
1998,4,369,
1998,5,370.1,
1998,6,369.2,
1998,7,367.8,
1998,8,365.8,
1998,9,364.3,
1998,10,364.9,
1998,11,366.3,
1998,12,368.3,
1999,1,370.5,
1999,2,370.8,
1999,3,370.8,
1999,4,372.3,
1999,5,372.5,
1999,6,370.9,
1999,7,368.9,
1999,8,367,
1999,9,365,
1999,10,365.9,
1999,11,367.4,
1999,12,369.7,
2000,1,371.1,
2000,2,372.5,
2000,3,373.3,
2000,4,372.8,
2000,5,372.8,
2000,6,372,
2000,7,369.7,
2000,8,368.2,
2000,9,366.9,
2000,10,367.4,
2000,11,369,
2000,12,371.8,
2001,1,372.9,
2001,2,373.8,
2001,3,374.8,
2001,4,374.7,
2001,5,374.7,
2001,6,373.6,
2001,7,370.5,
2001,8,369.1,
2001,9,368.2,
2001,10,369.1,
2001,11,370.9,
2001,12,373.3,
2002,1,374.8,
2002,2,375.6,
2002,3,375.8,
2002,4,377,
2002,5,376.6,
2002,6,375.6,
2002,7,373,
2002,8,372,
2002,9,370.2,
2002,10,371.4,
2002,11,373.5,
2002,12,375.3,
2003,1,377.1,
2003,2,378.4,
2003,3,379.4,
2003,4,379.5,
2003,5,379.5,
2003,6,378.7,
2003,7,376.7,
2003,8,374.2,
2003,9,372.8,
2003,10,373.7,
2003,11,376.4,
2003,12,377.5,
2004,1,379.8,
2004,2,381.2,
2004,3,380.8,
2004,4,381,
2004,5,382.1,
2004,6,379.9,
2004,7,376.9,
2004,8,376.1,
2004,9,373.6,
2004,10,375.2,
2004,11,376.8,
2004,12,379.8,
2005,1,381,
2005,2,382,
2005,3,383.2,
2005,4,383.8,
2005,5,383.7,
2005,6,382.8,
2005,7,380.8,
2005,8,378.3,
2005,9,376.8,
2005,10,377.6,
2005,11,380.2,
2005,12,382.1,
2006,1,384.3,
2006,2,384.2,
2006,3,385.2,
2006,4,386,
2006,5,386.3,
2006,6,384.9,
2006,7,382.5,
2006,8,380.3,
2006,9,--,
2006,10,--,
2006,11,382.9,
2006,12,383.3,
2007,1,385.5,
2007,2,387,
2007,3,387.6,
2007,4,387.7,
2007,5,387.8,
2007,6,386.2,
2007,7,384.5,
2007,8,382.2,
2007,9,380.9,
2007,10,381.8,
2007,11,383,
2007,12,385.3,
2008,1,387.7,
2008,2,389.3,
2008,3,389.6,
2008,4,390,
2008,5,389.2,
2008,6,388.5,
2008,7,385.3,
2008,8,384.6,
2008,9,382.2,
2008,10,383.1,
2008,11,385.2,
2008,12,386.7,
2009,1,389,
2009,2,389.8,
2009,3,391.1,
2009,4,390.5,
2009,5,391.5,
2009,6,389,
2009,7,387.3,
2009,8,386.1,
2009,9,384.5,
2009,10,384.7,
2009,11,386.5,
2009,12,388.8,
2010,1,391.3,
2010,2,391.8,
2010,3,391.8,
2010,4,393.6,
2010,5,394.4,
2010,6,392.5,
2010,7,390.1,
2010,8,388.1,
2010,9,386.5,
2010,10,387.6,
2010,11,389.8,
2010,12,391.8,
2011,1,394.7,
2011,2,394.5,
2011,3,396,
2011,4,396.6,
2011,5,395.3,
2011,6,394.6,
2011,7,392,
2011,8,390.3,
2011,9,388.6,
2011,10,389.3,
2011,11,392.1,
2011,12,392.4,
2012,1,395.9,
2012,2,396.6,
2012,3,397.4,
2012,4,398.4,
2012,5,398,
2012,6,396,
2012,7,394.2,
2012,8,391.6,
2012,9,390.2,
2012,10,392,
2012,11,395.2,
2012,12,396.8,
2013,1,398.4,
2013,2,398.9,
2013,3,398.7,
2013,4,400.7,
2013,5,400.8,
2013,6,399.5,
2013,7,397.5,
2013,8,395.1,
2013,9,393.1,
2013,10,394.5,
2013,11,397,
2013,12,399.1,
2014,1,400.8,
2014,2,401.1,
2014,3,402,
2014,4,402.9,
2014,5,403,
2014,6,401.3,
2014,7,398.2,
2014,8,396.5,
2014,9,395.5,
2014,10,396.4,
2014,11,398.3,
2014,12,400.8,
2015,1,402.7,
2015,2,403.6,
2015,3,403.5,
2015,4,403.9,
2015,5,404.6,
2015,6,403.4,
2015,7,400.8,
2015,8,398.2,
2015,9,395.7,
2015,10,399.2,
2015,11,400.9,
2015,12,403.9,
2016,1,405.1,
2016,2,405.5,
2016,3,407.4,
2016,4,407.8,
2016,5,408,
2016,6,407.1,
2016,7,405.3,
2016,8,402.7,
2016,9,400.6,
2016,10,402.2,
2016,11,403.8,
2016,12,406.8,
2017,1,409.2,
2017,2,409.6,
2017,3,411.4,
2017,4,410.7,
2017,5,411.2,
2017,6,409.1,
2017,7,407.4,
2017,8,405.1,
2017,9,403.1,
2017,10,404,
2017,11,406.9,
2017,12,407.6,
2018,1,410.7,
2018,2,411,
2018,3,411.5,
2018,4,412.4,
2018,5,412.2,
2018,6,410.7,
2018,7,409,
2018,8,406.5,
2018,9,405.3,
2018,10,406.6,
2018,11,409.2,
2018,12,411.3,
2019,1,413.4,
2019,2,413.7,
2019,3,414.4,
2019,4,415.5,
2019,5,415.2,
2019,6,413.5,
2019,7,412.2,
2019,8,409.6,
2019,9,408.1,
2019,10,409.2,
2019,11,411.4,
2019,12,413.8,
2020,1,415.4,
2020,2,416.5,
2020,3,416.8,
2020,4,417.7,
2020,5,417.6,
2020,6,416.2,
2020,7,414.3,
2020,8,412,
2020,9,410.8,
2020,10,411.7,
2020,11,413.3,
2020,12,415.4,
2021,1,417,
2021,2,419.4,
2021,3,419,
2021,4,419.8,
2021,5,420,
2021,6,419.1,
2021,7,416.6,
2021,8,413.4,
2021,9,412.8,
2021,10,413.7,
2021,11,416.2,
2021,12,418.7,
2022,1,421,
2022,2,422.5,
2022,3,421.5,
2022,4,421.7,
2022,5,422.2,
2022,6,421.2,
2022,7,419.2,
2022,8,416.7,
2022,9,415.3,
2022,10,415.9,
2022,11,418.3,
2022,12,420.7,
2023,1,422.7,
2023,2,423.3,
2023,3,423.7,
2023,4,424.6,
2023,5,424.8,
2023,6,423.4,
2023,7,421.1,
2023,8,419.4,
2023,9,416.8,
2023,10,418.7,
2023,11,420.8,
2023,12,422.7,
2024,1,425.8,)
2024,2,426.7,)
2024,3,427.7,)
2024,4,428.1,)
2024,5,427.6,)
2024,6,426.9,)
2024,7,425.2,)
2024,8,423.3,)
2024,9,421.1,)
2024,10,422.8,)
2024,11,425,)
2024,12,428.1,)
2025,1,428.7,)
2025,2,430.5,)
2025,3,431.1,)
2025,4,431,)
